Complaint,Department
Toilet area is dirty.,Cleaning
CSE lab is dusty,Cleaning
Fan not working in hostel room in Admin Block.,Hostel
Door is broken in the first floor.,Maintenance
Bad smell in corridor in Lab 1.,Cleaning
Internet not working in lab in Room 204.,CSE
Water tap is damaged.,Maintenance
There is a problem with my bus pass on campus.,Others
Bad smell in corridor in First Floor.,Cleaning
chair broken,Maintenance
Library computer not working in Block B.,Library
The hostel room needs attention in the second floor.,Hostel
Power outage in auditorium,Electrical
Power outage in classroom in Room 204.,Electrical
Bathroom is dirty in Lab 2.,Hostel
Hall ticket not generated in Room 101.,Others
Light is flickering in Admin Block.,Electrical
computer login problem,CSE
library login problem,Library
water supply problem,Hostel
Signal generator issue in Block B.,ECE
Library internet not working in Block A.,Library
Window is damaged in Block B.,Maintenance
There is a lot of dust in the room near the main building.,Cleaning
Fan is not working in First Floor.,Electrical
Hostel water supply is interrupted.,Hostel
There is a bad smell in the room.,Cleaning
The room needs cleaning.,Cleaning
Signal generator is not working in Room 101.,ECE
Power outage in classroom in Block B.,Electrical
furniture broken,Maintenance
Plug point damaged in computer lab,Electrical
I am unable to return a book in Block A.,Library
I cannot log in to the lab computer in the first floor.,CSE
Campus area is dirty in Second Floor.,Cleaning
There is a power problem in the room in the first floor.,Electrical
Required book is unavailable in Admin Block.,Library
I need help with a bonafide certificate in the lab.,Others
Generator backup failed in Room 101.,Electrical
Book issue system not working in Room 204.,Library
Door needs repair near the main building.,Maintenance
Fan not working in library,Electrical
Website login problem in Block A.,Others
Water tap is damaged in Block A.,Maintenance
Oscilloscope not working in Block A.,ECE
Digital trainer board failed in First Floor.,ECE
Hostel room needs cleaning in Lab 2.,Hostel
System is running very slow in Block B.,CSE
Monitor display is blank in Room 204.,CSE
Switch board is damaged in First Floor.,Electrical
Fee payment portal not working in Block A.,Others
Internet in the library is not working in Room 204.,Library
The floor is dusty in Room 101.,Cleaning
Classroom is very dirty in Lab 2.,Cleaning
Hall ticket not generated in Lab 1.,Others
Washroom is not clean in Block A.,Cleaning
General enquiry not resolved in Lab 1.,Others
Switch is broken on campus.,Electrical
Hostel bed is damaged near the main building.,Hostel
Ceiling has a leak in Room 101.,Maintenance
scholarship problem,Others
Library AC not working in Lab 2.,Library
There is a bad smell in the room in Block B.,Cleaning
Library seating is a problem in Room 204.,Library
lab dirty,Cleaning
Floor is dirty and needs cleaning near the main building.,Cleaning
Power outage in classroom in First Floor.,Electrical
Classroom light is flickering in Room 101.,Electrical
electronics lab issue,ECE
tube light off,Electrical
I have an issue with my college id card on campus.,Others
Printer not working in Second Floor.,CSE
Tap is leaking near the main building.,Maintenance
Campus area is dirty in Admin Block.,Cleaning
Library wifi is unavailable.,Library
Hall ticket not generated in Block A.,Others
Computer not starting in Second Floor.,CSE
The door is damaged in the classroom.,Maintenance
website problem,CSE
The microcontroller board has stopped working.,ECE
Bus pass has not been issued in Block B.,Others
certificate problem,Others
Lab equipment is faulty in Admin Block.,ECE
There is a drainage problem in Block A.,Maintenance
There is a problem with book return in the first floor.,Library
Computer lab printer is not working.,CSE
Power outage in classroom in Second Floor.,Electrical
Campus area is dirty in Room 101.,Cleaning
Window is damaged in the lab.,Maintenance
attendance issue,Others
Fan is making a strange noise in Block A.,Electrical
lab pc problem,CSE
There is a problem with fee payment.,Others
Digital trainer board failed in Lab 1.,ECE
Insufficient seating in library in Second Floor.,Library
Garbage not collected in Second Floor.,Cleaning
Keyboard not working in Block B.,CSE
There is seepage from the ceiling in Room 204.,Maintenance
Library floor is dirty,Cleaning
Circuit board has a fault in Block B.,ECE
Fee payment is not working.,Others
Floor is dirty and needs cleaning in Room 204.,Cleaning
Scholarship not received in First Floor.,Others
Floor is dirty and needs cleaning.,Cleaning
exam form problem,Others
Fee payment portal not working in Lab 1.,Others
Reading room is noisy in Block A.,Library
Mess food quality is poor in Block B.,Hostel
Fan not working in hostel room in Lab 1.,Hostel
Scholarship payment has not been received in the second floor.,Others
Reading room is noisy in Room 204.,Library
Classroom is dirty in the first floor.,Cleaning
Function generator faulty in Block B.,ECE
Electronics lab equipment has a problem in Block A.,ECE
