Complaint,Department
Lab equipment is faulty in Admin Block.,ECE
Library AC not working in First Floor.,Library
Keyboard not working in Block B.,CSE
Washroom needs cleaning in Lab 1.,Cleaning
Insufficient seating in library in Block A.,Library
Library AC not working in Room 101.,Library
Monitor display is blank in Room 204.,CSE
Microcontroller kit not working in Room 204.,ECE
Bonafide certificate delayed in Second Floor.,Others
Mouse is not responding in Second Floor.,CSE
Staircase is dusty in Room 101.,Cleaning
Washroom needs cleaning in Block B.,Cleaning
Bad smell in corridor in Room 204.,Cleaning
Keyboard not working in Block B.,CSE
Power outage in classroom in Room 204.,Electrical
Tap is leaking in Room 204.,Maintenance
No water supply in hostel in Lab 2.,Hostel
Roof seepage issue in First Floor.,Maintenance
Loose electrical wiring in Block A.,Electrical
Roof seepage issue in Second Floor.,Maintenance
General enquiry not resolved in Room 204.,Others
Switch board is damaged in Admin Block.,Electrical
Scholarship not received in Block A.,Others
Computer not starting in Block B.,CSE
Bathroom is dirty in Second Floor.,Hostel
Required book is unavailable in Room 204.,Library
Book issue system not working in Room 204.,Library
General enquiry not resolved in Admin Block.,Others
Fee payment portal not working in First Floor.,Others
Floor needs mopping in Admin Block.,Cleaning
Fan not working in hostel room in Room 204.,Hostel
Printer not working in Room 204.,CSE
Oscilloscope not working in First Floor.,ECE
Mouse is not responding in Second Floor.,CSE
Broken classroom bench in Block B.,Maintenance
Garbage not collected in First Floor.,Cleaning
Mess food quality is poor in Block A.,Hostel
Wall has cracks in Lab 1.,Maintenance
General enquiry not resolved in Room 101.,Others
Wall has cracks in Block A.,Maintenance
Dustbins are overflowing in Lab 1.,Cleaning
Printer not working in Block B.,CSE
Signal generator issue in Block A.,ECE
Door lock is broken in Second Floor.,Maintenance
Monitor display is blank in Block A.,CSE
Microcontroller kit not working in Lab 1.,ECE
Insufficient seating in library in Lab 2.,Library
Broken classroom bench in Second Floor.,Maintenance
Breadboard is damaged in First Floor.,ECE
Breadboard is damaged in Room 204.,ECE
Required book is unavailable in Second Floor.,Library
Scholarship not received in Lab 2.,Others
Scholarship not received in Lab 1.,Others
Microcontroller kit not working in Admin Block.,ECE
Software installation required in Block A.,CSE
Breadboard is damaged in Room 204.,ECE
Oscilloscope not working in Block A.,ECE
Microcontroller kit not working in Admin Block.,ECE
Broken classroom bench in Second Floor.,Maintenance
Hall ticket not generated in Block B.,Others
No water supply in hostel in Admin Block.,Hostel
Insufficient seating in library in Lab 2.,Library
Bus pass issue in First Floor.,Others
Fan is not working in Admin Block.,Electrical
Function generator faulty in Block A.,ECE
Tube light not working in First Floor.,Electrical
Lab equipment is faulty in Room 204.,ECE
General enquiry not resolved in Lab 2.,Others
Door lock is broken in Lab 1.,Maintenance
Mess food quality is poor in Lab 2.,Hostel
Book return portal not working in Lab 1.,Library
Fan not working in hostel room in Lab 2.,Hostel
Software installation required in Block B.,CSE
Mess food quality is poor in Block A.,Hostel
Power outage in classroom in First Floor.,Electrical
Bad smell in corridor in First Floor.,Cleaning
Light is flickering in Admin Block.,Electrical
Reading room is noisy in Lab 1.,Library
Hall ticket not generated in Room 204.,Others
Fan is not working in Lab 2.,Electrical
Arduino board not detected in Room 204.,ECE
Garbage not collected in Block A.,Cleaning
Power outage in classroom in Lab 1.,Electrical
Bad smell in corridor in Block A.,Cleaning
Switch board is damaged in Block A.,Electrical
Mouse is not responding in Second Floor.,CSE
Power socket not working in Second Floor.,Electrical
Breadboard is damaged in First Floor.,ECE
General enquiry not resolved in Lab 2.,Others
Tap is leaking in First Floor.,Maintenance
No water supply in hostel in Admin Block.,Hostel
Bonafide certificate delayed in Room 101.,Others
Mouse is not responding in Second Floor.,CSE
Signal generator issue in Admin Block.,ECE
Wall has cracks in Room 204.,Maintenance
Dustbins are overflowing in Lab 1.,Cleaning
Reading room is noisy in Room 204.,Library
Plumbing problem in Room 204.,Maintenance
Switch board is damaged in Block B.,Electrical
Tap is leaking in Admin Block.,Maintenance
ID card not issued in Lab 2.,Others
Fan is not working in First Floor.,Electrical
Fan is not working in Block B.,Electrical
Scholarship not received in Lab 1.,Others
Classroom is very dirty in First Floor.,Cleaning
ID card not issued in Admin Block.,Others
Water leaking from ceiling in First Floor.,Maintenance
Fan is not working in First Floor.,Electrical
Mouse is not responding in Block B.,CSE
Signal generator issue in Room 101.,ECE
Fee payment portal not working in Block A.,Others
Power outage in classroom in Admin Block.,Electrical
Keyboard not working in Admin Block.,CSE
Roof seepage issue in First Floor.,Maintenance
Book issue system not working in Admin Block.,Library
Library internet not working in Room 101.,Library
Required book is unavailable in First Floor.,Library
Computer not starting in Second Floor.,CSE
Reading room is noisy in Second Floor.,Library
Bathroom is dirty in Lab 2.,Hostel
Mouse is not responding in Lab 1.,CSE
ID card not issued in Room 204.,Others
Mouse is not responding in Second Floor.,CSE
Plumbing problem in First Floor.,Maintenance
Breadboard is damaged in Room 204.,ECE
Generator backup failed in Lab 1.,Electrical
Staircase is dusty in Lab 1.,Cleaning
Bonafide certificate delayed in Lab 1.,Others
Computer not starting in Lab 2.,CSE
No water supply in hostel in Lab 1.,Hostel
Tube light not working in Room 101.,Electrical
Required book is unavailable in Block B.,Library
Wall has cracks in Admin Block.,Maintenance
Washroom needs cleaning in Lab 2.,Cleaning
Classroom is very dirty in Block A.,Cleaning
Staircase is dusty in Block B.,Cleaning
Mess food quality is poor in Room 101.,Hostel
Loose electrical wiring in First Floor.,Electrical
Hall ticket not generated in First Floor.,Others
Mouse is not responding in Room 204.,CSE
ID card not issued in Room 204.,Others
Campus area is dirty in Lab 2.,Cleaning
Hall ticket not generated in Admin Block.,Others
Switch board is damaged in Lab 2.,Electrical
Campus area is dirty in Room 204.,Cleaning
Roof seepage issue in First Floor.,Maintenance
Drinking water cooler not working in First Floor.,Hostel
Scholarship not received in Lab 2.,Others
ID card not issued in Lab 1.,Others
Reading room is noisy in Room 101.,Library
Generator backup failed in Lab 1.,Electrical
No water supply in hostel in Second Floor.,Hostel
Library AC not working in First Floor.,Library
Roof seepage issue in Block A.,Maintenance
Library AC not working in Block A.,Library
Reading room is noisy in Second Floor.,Library
Campus area is dirty in First Floor.,Cleaning
Power socket not working in Second Floor.,Electrical
Function generator faulty in Room 204.,ECE
Monitor display is blank in Lab 2.,CSE
Dustbins are overflowing in Lab 1.,Cleaning
General enquiry not resolved in Room 204.,Others
Scholarship not received in Block A.,Others
Library internet not working in Second Floor.,Library
Reading room is noisy in Admin Block.,Library
Library internet not working in Room 101.,Library
Hostel room needs cleaning in Lab 1.,Hostel
Function generator faulty in Block B.,ECE
Bonafide certificate delayed in Block A.,Others
Power outage in classroom in Second Floor.,Electrical
Washroom needs cleaning in Room 204.,Cleaning
Printer not working in Lab 2.,CSE
Bathroom is dirty in Lab 2.,Hostel
Computer not starting in Lab 1.,CSE
Drinking water cooler not working in First Floor.,Hostel
Reading room is noisy in Admin Block.,Library
Keyboard not working in Lab 1.,CSE
Wall has cracks in Block A.,Maintenance
Fee payment portal not working in Block A.,Others
Internet not working in lab in Block A.,CSE
Keyboard not working in Block B.,CSE
Room lock is broken in Block B.,Hostel
Oscilloscope not working in Room 101.,ECE
Roof seepage issue in First Floor.,Maintenance
Breadboard is damaged in Room 204.,ECE
Light is flickering in Admin Block.,Electrical
Power outage in classroom in First Floor.,Electrical
Hostel room needs cleaning in Block B.,Hostel
System is running very slow in Second Floor.,CSE
Dustbins are overflowing in Room 101.,Cleaning
Signal generator issue in Block B.,ECE
Arduino board not detected in Lab 2.,ECE
Software installation required in First Floor.,CSE
Bathroom is dirty in Room 204.,Hostel
Book return portal not working in Admin Block.,Library
Light is flickering in Block A.,Electrical
Software installation required in Room 204.,CSE
Tube light not working in Room 204.,Electrical
Light is flickering in Room 101.,Electrical
Water leaking from ceiling in Block B.,Maintenance
Book issue system not working in First Floor.,Library
Internet not working in lab in Lab 2.,CSE
Scholarship not received in Room 204.,Others
Dustbins are overflowing in Room 101.,Cleaning
Roof seepage issue in Lab 2.,Maintenance
Reading room is noisy in Second Floor.,Library
ID card not issued in Room 101.,Others
Oscilloscope not working in Lab 1.,ECE
Mess food quality is poor in First Floor.,Hostel
Hall ticket not generated in Second Floor.,Others
Door lock is broken in First Floor.,Maintenance
Breadboard is damaged in Lab 2.,ECE
Bonafide certificate delayed in Lab 2.,Others
Washroom needs cleaning in Block B.,Cleaning
Fan is not working in First Floor.,Electrical
Bonafide certificate delayed in Block B.,Others
Breadboard is damaged in Second Floor.,ECE
Mess food quality is poor in Lab 1.,Hostel
Washroom needs cleaning in Block A.,Cleaning
Required book is unavailable in First Floor.,Library
Internet not working in lab in Lab 1.,CSE
Monitor display is blank in Block A.,CSE
Breadboard is damaged in Second Floor.,ECE
Room lock is broken in Block A.,Hostel
Library computer not working in Lab 1.,Library
Broken classroom bench in Block B.,Maintenance
ID card not issued in Room 204.,Others
Switch board is damaged in Room 204.,Electrical
Campus area is dirty in Room 204.,Cleaning
Hall ticket not generated in Second Floor.,Others
Floor needs mopping in Block B.,Cleaning
Switch board is damaged in Second Floor.,Electrical
No water supply in hostel in Room 101.,Hostel
Wall has cracks in Lab 2.,Maintenance
Printer not working in Block A.,CSE
Plumbing problem in Block B.,Maintenance
Fan is not working in Room 204.,Electrical
Bad smell in corridor in Block B.,Cleaning
Book issue system not working in Admin Block.,Library
Window glass is broken in Admin Block.,Maintenance
Reading room is noisy in Block A.,Library
Generator backup failed in Block A.,Electrical
Oscilloscope not working in Block B.,ECE
Library AC not working in Lab 1.,Library
Mouse is not responding in Block A.,CSE
Roof seepage issue in First Floor.,Maintenance
Door lock is broken in Room 204.,Maintenance
Fee payment portal not working in Admin Block.,Others
System is running very slow in First Floor.,CSE
Library AC not working in Admin Block.,Library
Tap is leaking in First Floor.,Maintenance
Water leaking from ceiling in Lab 1.,Maintenance
Software installation required in Room 204.,CSE
Water leaking from ceiling in Lab 1.,Maintenance
Floor needs mopping in Block B.,Cleaning
Bathroom is dirty in Room 101.,Hostel
Light is flickering in First Floor.,Electrical
Hostel room needs cleaning in Room 101.,Hostel
Tube light not working in Lab 1.,Electrical
Floor needs mopping in Room 101.,Cleaning
Campus area is dirty in Room 101.,Cleaning
Oscilloscope not working in Second Floor.,ECE
Microcontroller kit not working in Room 101.,ECE
Required book is unavailable in Room 204.,Library
Light is flickering in Block A.,Electrical
Power socket not working in First Floor.,Electrical
Water leaking from ceiling in Second Floor.,Maintenance
Book return portal not working in First Floor.,Library
Drinking water cooler not working in First Floor.,Hostel
Printer not working in Lab 2.,CSE
Arduino board not detected in Lab 2.,ECE
Generator backup failed in Second Floor.,Electrical
System is running very slow in Second Floor.,CSE
Dustbins are overflowing in Second Floor.,Cleaning
Website login problem in Room 101.,Others
Book return portal not working in First Floor.,Library
No water supply in hostel in Room 204.,Hostel
ID card not issued in Second Floor.,Others
Bad smell in corridor in Lab 2.,Cleaning
Printer not working in Lab 2.,CSE
Mess food quality is poor in Room 204.,Hostel
Mess food quality is poor in Admin Block.,Hostel
Library AC not working in First Floor.,Library
Printer not working in Room 101.,CSE
Hall ticket not generated in Second Floor.,Others
Classroom is very dirty in Block A.,Cleaning
Fan is not working in Room 204.,Electrical
Lab equipment is faulty in First Floor.,ECE
Mess food quality is poor in Second Floor.,Hostel
Roof seepage issue in Block B.,Maintenance
Reading room is noisy in Room 101.,Library
Library computer not working in Lab 2.,Library
Monitor display is blank in First Floor.,CSE
Hall ticket not generated in Lab 1.,Others
Keyboard not working in Block A.,CSE
Microcontroller kit not working in Block B.,ECE
Oscilloscope not working in Lab 1.,ECE
Staircase is dusty in Room 204.,Cleaning
Website login problem in First Floor.,Others
Staircase is dusty in Second Floor.,Cleaning
Bad smell in corridor in Second Floor.,Cleaning
Bus pass issue in Room 204.,Others
Classroom is very dirty in Block B.,Cleaning
System is running very slow in Admin Block.,CSE
Wall has cracks in Lab 2.,Maintenance
Bonafide certificate delayed in Block A.,Others
Fan not working in hostel room in First Floor.,Hostel
Oscilloscope not working in First Floor.,ECE
Computer not starting in Admin Block.,CSE
Garbage not collected in Room 101.,Cleaning
Floor needs mopping in Lab 2.,Cleaning
Fan not working in hostel room in Second Floor.,Hostel
Generator backup failed in Second Floor.,Electrical
ID card not issued in Room 101.,Others
Keyboard not working in Lab 2.,CSE
Bathroom is dirty in Admin Block.,Hostel
Dustbins are overflowing in First Floor.,Cleaning
Power outage in classroom in Lab 2.,Electrical
Monitor display is blank in Admin Block.,CSE
Staircase is dusty in Block A.,Cleaning
Hall ticket not generated in Room 204.,Others
Bad smell in corridor in Block B.,Cleaning
Classroom is very dirty in Second Floor.,Cleaning
Roof seepage issue in Lab 2.,Maintenance
Hall ticket not generated in Admin Block.,Others
Tube light not working in Lab 2.,Electrical
Floor needs mopping in Room 204.,Cleaning
Plumbing problem in First Floor.,Maintenance
Function generator faulty in Second Floor.,ECE
Bus pass issue in Room 204.,Others
Computer not starting in Lab 2.,CSE
Arduino board not detected in Second Floor.,ECE
Signal generator issue in Block A.,ECE
Fan is not working in First Floor.,Electrical
Keyboard not working in Block A.,CSE
Library AC not working in Block A.,Library
Monitor display is blank in Room 204.,CSE
Tap is leaking in Room 101.,Maintenance
Library AC not working in Room 101.,Library
Switch board is damaged in Lab 2.,Electrical
Monitor display is blank in Block A.,CSE
Microcontroller kit not working in Second Floor.,ECE
Water leaking from ceiling in Second Floor.,Maintenance
Software installation required in Block B.,CSE
Fee payment portal not working in First Floor.,Others
Door lock is broken in Admin Block.,Maintenance
Roof seepage issue in Admin Block.,Maintenance
ID card not issued in Lab 1.,Others
Scholarship not received in Room 101.,Others
Tube light not working in Room 101.,Electrical
Required book is unavailable in Room 204.,Library
Required book is unavailable in Second Floor.,Library
Broken classroom bench in Block A.,Maintenance
Bathroom is dirty in First Floor.,Hostel
Room lock is broken in Lab 2.,Hostel
Software installation required in Room 204.,CSE
Internet not working in lab in Admin Block.,CSE
Wall has cracks in Block B.,Maintenance
Keyboard not working in Admin Block.,CSE
Room lock is broken in Room 204.,Hostel
Scholarship not received in First Floor.,Others
Fan not working in hostel room in Block B.,Hostel
Staircase is dusty in First Floor.,Cleaning
Hall ticket not generated in Lab 2.,Others
Computer not starting in Block B.,CSE
Fan not working in hostel room in Lab 1.,Hostel
Lab equipment is faulty in Room 204.,ECE
No water supply in hostel in Lab 2.,Hostel
Power socket not working in Room 204.,Electrical
Reading room is noisy in Lab 2.,Library
Digital trainer board failed in Room 204.,ECE
Library computer not working in Admin Block.,Library
Broken classroom bench in Lab 2.,Maintenance
Library AC not working in Second Floor.,Library
Tap is leaking in First Floor.,Maintenance
Generator backup failed in Lab 1.,Electrical
Computer not starting in Block B.,CSE
Bathroom is dirty in Second Floor.,Hostel
Room lock is broken in Room 204.,Hostel
Function generator faulty in First Floor.,ECE
Generator backup failed in Admin Block.,Electrical
Loose electrical wiring in Room 101.,Electrical
Printer not working in Lab 1.,CSE
Insufficient seating in library in Second Floor.,Library
Library internet not working in Block B.,Library
Scholarship not received in Room 204.,Others
Oscilloscope not working in Second Floor.,ECE
Hall ticket not generated in First Floor.,Others
Garbage not collected in Lab 2.,Cleaning
ID card not issued in Block A.,Others
Campus area is dirty in Room 101.,Cleaning
Hall ticket not generated in Room 101.,Others
Bus pass issue in Block A.,Others
Hostel room needs cleaning in First Floor.,Hostel
Tube light not working in Lab 1.,Electrical
Arduino board not detected in Block B.,ECE
System is running very slow in Second Floor.,CSE
Power socket not working in Lab 1.,Electrical
Insufficient seating in library in Room 204.,Library
Fee payment portal not working in Block A.,Others
Scholarship not received in Admin Block.,Others
Library AC not working in Block B.,Library
Switch board is damaged in Room 101.,Electrical
Window glass is broken in Admin Block.,Maintenance
Lab equipment is faulty in Admin Block.,ECE
Fan not working in hostel room in Lab 1.,Hostel
Floor needs mopping in Room 204.,Cleaning
General enquiry not resolved in Lab 1.,Others
Bathroom is dirty in Block B.,Hostel
Floor needs mopping in Room 204.,Cleaning
Floor needs mopping in Room 204.,Cleaning
Signal generator issue in Lab 2.,ECE
ID card not issued in Lab 1.,Others
Book return portal not working in First Floor.,Library
Lab equipment is faulty in Room 204.,ECE
Plumbing problem in Second Floor.,Maintenance
General enquiry not resolved in Block A.,Others
Computer not starting in Admin Block.,CSE
Room lock is broken in Block A.,Hostel
Campus area is dirty in Admin Block.,Cleaning
Software installation required in Admin Block.,CSE
General enquiry not resolved in Admin Block.,Others
Classroom is very dirty in Room 101.,Cleaning
Keyboard not working in Admin Block.,CSE
Bonafide certificate delayed in Second Floor.,Others
Dustbins are overflowing in Lab 1.,Cleaning
Classroom is very dirty in Room 204.,Cleaning
No water supply in hostel in First Floor.,Hostel
Oscilloscope not working in Room 204.,ECE
Website login problem in Lab 1.,Others
No water supply in hostel in Lab 1.,Hostel
Hostel WiFi not working in Second Floor.,Hostel
Hostel WiFi not working in Lab 2.,Hostel
Washroom needs cleaning in First Floor.,Cleaning
Software installation required in First Floor.,CSE
Internet not working in lab in First Floor.,CSE
Library AC not working in Lab 2.,Library
Digital trainer board failed in Block B.,ECE
Mess food quality is poor in Room 101.,Hostel
Digital trainer board failed in Lab 2.,ECE
Room lock is broken in Room 101.,Hostel
Room lock is broken in Block A.,Hostel
Oscilloscope not working in Room 101.,ECE
Fee payment portal not working in First Floor.,Others
Broken classroom bench in Room 204.,Maintenance
Hostel room needs cleaning in Second Floor.,Hostel
Library internet not working in Block B.,Library
Washroom needs cleaning in Second Floor.,Cleaning
Hostel WiFi not working in Second Floor.,Hostel
Bathroom is dirty in First Floor.,Hostel
Hall ticket not generated in Block B.,Others
Broken classroom bench in Block B.,Maintenance
Scholarship not received in Second Floor.,Others
Water leaking from ceiling in Room 101.,Maintenance
Classroom is very dirty in Room 101.,Cleaning
Power outage in classroom in Room 204.,Electrical
Broken classroom bench in Second Floor.,Maintenance
Insufficient seating in library in Block B.,Library
Broken classroom bench in Admin Block.,Maintenance
Bathroom is dirty in Admin Block.,Hostel
Power outage in classroom in Lab 1.,Electrical
Water leaking from ceiling in Room 204.,Maintenance
Floor needs mopping in Lab 1.,Cleaning
Digital trainer board failed in First Floor.,ECE
Light is flickering in Block A.,Electrical
Garbage not collected in Admin Block.,Cleaning
Library internet not working in Second Floor.,Library
Floor needs mopping in Lab 1.,Cleaning
Bonafide certificate delayed in Lab 2.,Others
Breadboard is damaged in Lab 1.,ECE
Bad smell in corridor in Block A.,Cleaning
Scholarship not received in Room 101.,Others
Digital trainer board failed in Block B.,ECE
Lab equipment is faulty in Admin Block.,ECE
Switch board is damaged in Room 101.,Electrical
Floor needs mopping in Lab 2.,Cleaning
Bad smell in corridor in Block B.,Cleaning
Signal generator issue in Block A.,ECE
ID card not issued in Lab 2.,Others
Hall ticket not generated in Block A.,Others
Bus pass issue in Room 101.,Others
Classroom is very dirty in Lab 1.,Cleaning
No water supply in hostel in Lab 1.,Hostel
Room lock is broken in Admin Block.,Hostel
Power socket not working in First Floor.,Electrical
Bonafide certificate delayed in Block A.,Others
Software installation required in First Floor.,CSE
Required book is unavailable in First Floor.,Library
Library AC not working in First Floor.,Library
Lab equipment is faulty in Admin Block.,ECE
Website login problem in Block B.,Others
Garbage not collected in Admin Block.,Cleaning
Microcontroller kit not working in Room 101.,ECE
Drinking water cooler not working in Second Floor.,Hostel
Staircase is dusty in Admin Block.,Cleaning
Computer not starting in Second Floor.,CSE
Classroom is very dirty in First Floor.,Cleaning
Breadboard is damaged in Second Floor.,ECE
Oscilloscope not working in Room 204.,ECE
Roof seepage issue in Second Floor.,Maintenance
Bonafide certificate delayed in Lab 2.,Others
Tap is leaking in Room 101.,Maintenance
Hostel room needs cleaning in First Floor.,Hostel
Internet not working in lab in First Floor.,CSE
Computer not starting in Lab 2.,CSE
Classroom is very dirty in Lab 2.,Cleaning
Monitor display is blank in Lab 1.,CSE
Digital trainer board failed in Room 101.,ECE
Digital trainer board failed in Block A.,ECE
Power socket not working in Block A.,Electrical
Loose electrical wiring in Block B.,Electrical
Power socket not working in Block A.,Electrical
Floor needs mopping in Admin Block.,Cleaning
Broken classroom bench in Lab 2.,Maintenance
Scholarship not received in Room 204.,Others
Classroom is very dirty in Lab 2.,Cleaning
General enquiry not resolved in Admin Block.,Others
Generator backup failed in First Floor.,Electrical
Printer not working in Block A.,CSE
Loose electrical wiring in First Floor.,Electrical
Computer not starting in Lab 1.,CSE
Software installation required in Block B.,CSE
Computer not starting in Second Floor.,CSE
Library internet not working in Block A.,Library
Reading room is noisy in Lab 2.,Library
Mouse is not responding in Room 204.,CSE
Breadboard is damaged in Block A.,ECE
Hostel room needs cleaning in Second Floor.,Hostel
Wall has cracks in Admin Block.,Maintenance
Bus pass issue in Second Floor.,Others
Generator backup failed in Room 101.,Electrical
Floor needs mopping in Block A.,Cleaning
Scholarship not received in Room 204.,Others
Oscilloscope not working in Second Floor.,ECE
Water leaking from ceiling in First Floor.,Maintenance
Window glass is broken in Block B.,Maintenance
Digital trainer board failed in Room 204.,ECE
Scholarship not received in Second Floor.,Others
Wall has cracks in Lab 2.,Maintenance
Keyboard not working in Lab 1.,CSE
Function generator faulty in Admin Block.,ECE
Washroom needs cleaning in Admin Block.,Cleaning
Bad smell in corridor in Lab 2.,Cleaning
Washroom needs cleaning in Block A.,Cleaning
Book issue system not working in Block A.,Library
Insufficient seating in library in Block B.,Library
Classroom is very dirty in First Floor.,Cleaning
No water supply in hostel in Second Floor.,Hostel
Monitor display is blank in Block A.,CSE
Roof seepage issue in Block A.,Maintenance
Garbage not collected in Block A.,Cleaning
Classroom is very dirty in Room 204.,Cleaning
Floor needs mopping in Lab 2.,Cleaning
Mouse is not responding in Block A.,CSE
Room lock is broken in Room 204.,Hostel
Wall has cracks in Room 204.,Maintenance
Generator backup failed in Second Floor.,Electrical
Mouse is not responding in Second Floor.,CSE
Monitor display is blank in Room 101.,CSE
Dustbins are overflowing in Second Floor.,Cleaning
Staircase is dusty in Lab 2.,Cleaning
Breadboard is damaged in Lab 2.,ECE
Broken classroom bench in Block B.,Maintenance
Required book is unavailable in Lab 1.,Library
Digital trainer board failed in First Floor.,ECE
Arduino board not detected in Room 204.,ECE
Power outage in classroom in Lab 2.,Electrical
Hall ticket not generated in First Floor.,Others
Arduino board not detected in Second Floor.,ECE
Hostel room needs cleaning in Room 204.,Hostel
Garbage not collected in Lab 1.,Cleaning
Hostel WiFi not working in Second Floor.,Hostel
Bad smell in corridor in First Floor.,Cleaning
General enquiry not resolved in First Floor.,Others
Keyboard not working in Room 101.,CSE
Tube light not working in First Floor.,Electrical
Arduino board not detected in Lab 2.,ECE
Light is flickering in Admin Block.,Electrical
Scholarship not received in Lab 1.,Others
Plumbing problem in Room 204.,Maintenance
Bathroom is dirty in Room 101.,Hostel
Microcontroller kit not working in Room 101.,ECE
Switch board is damaged in Lab 1.,Electrical
ID card not issued in Room 204.,Others
Arduino board not detected in Room 101.,ECE
Roof seepage issue in Block B.,Maintenance
Campus area is dirty in Lab 2.,Cleaning
Classroom is very dirty in Lab 1.,Cleaning
Hostel room needs cleaning in Room 204.,Hostel
Bonafide certificate delayed in Lab 1.,Others
Washroom needs cleaning in Block B.,Cleaning
Plumbing problem in Room 101.,Maintenance
Book issue system not working in Second Floor.,Library
Internet not working in lab in Lab 2.,CSE
Loose electrical wiring in Lab 2.,Electrical
Insufficient seating in library in First Floor.,Library
Floor needs mopping in First Floor.,Cleaning
No water supply in hostel in Second Floor.,Hostel
Reading room is noisy in Room 204.,Library
Window glass is broken in Block A.,Maintenance
Dustbins are overflowing in Admin Block.,Cleaning
Library internet not working in Block B.,Library
Function generator faulty in Block A.,ECE
Loose electrical wiring in Admin Block.,Electrical
Wall has cracks in Second Floor.,Maintenance
General enquiry not resolved in Lab 1.,Others
Hostel WiFi not working in Room 204.,Hostel
Loose electrical wiring in Room 204.,Electrical
Switch board is damaged in First Floor.,Electrical
Breadboard is damaged in Lab 2.,ECE
Campus area is dirty in Admin Block.,Cleaning
Bonafide certificate delayed in Block A.,Others
Hall ticket not generated in Block A.,Others
Room lock is broken in Room 204.,Hostel
Loose electrical wiring in Lab 1.,Electrical
Plumbing problem in Lab 2.,Maintenance
Dustbins are overflowing in First Floor.,Cleaning
Signal generator issue in Block B.,ECE
Hostel WiFi not working in Second Floor.,Hostel
Website login problem in Room 101.,Others
Light is flickering in Lab 2.,Electrical
Website login problem in Lab 2.,Others
Hostel WiFi not working in Second Floor.,Hostel
Wall has cracks in Lab 2.,Maintenance
Required book is unavailable in Block B.,Library
Bad smell in corridor in Lab 1.,Cleaning
Washroom needs cleaning in Lab 1.,Cleaning
Required book is unavailable in Room 204.,Library
Fan not working in hostel room in Second Floor.,Hostel
Switch board is damaged in First Floor.,Electrical
Loose electrical wiring in Lab 2.,Electrical
No water supply in hostel in First Floor.,Hostel
Bus pass issue in Second Floor.,Others
Garbage not collected in Room 101.,Cleaning
Monitor display is blank in Second Floor.,CSE
Breadboard is damaged in Room 204.,ECE
Digital trainer board failed in Room 101.,ECE
General enquiry not resolved in Block A.,Others
Bathroom is dirty in Room 101.,Hostel
Loose electrical wiring in First Floor.,Electrical
Keyboard not working in Block A.,CSE
General enquiry not resolved in Lab 1.,Others
Insufficient seating in library in Room 204.,Library
Power socket not working in Lab 1.,Electrical
Switch board is damaged in Block B.,Electrical
Printer not working in First Floor.,CSE
Microcontroller kit not working in Lab 1.,ECE
Scholarship not received in Room 101.,Others
Printer not working in Block B.,CSE
Drinking water cooler not working in Block A.,Hostel
Dustbins are overflowing in Second Floor.,Cleaning
Bus pass issue in Room 101.,Others
Book issue system not working in Second Floor.,Library
Function generator faulty in Second Floor.,ECE
Hostel room needs cleaning in First Floor.,Hostel
Hall ticket not generated in First Floor.,Others
Bonafide certificate delayed in Lab 1.,Others
Hall ticket not generated in Lab 2.,Others
Campus area is dirty in First Floor.,Cleaning
Tap is leaking in Room 101.,Maintenance
Plumbing problem in Room 101.,Maintenance
Required book is unavailable in First Floor.,Library
Arduino board not detected in Room 204.,ECE
Arduino board not detected in First Floor.,ECE
General enquiry not resolved in Second Floor.,Others
Book issue system not working in Second Floor.,Library
No water supply in hostel in First Floor.,Hostel
Door lock is broken in Lab 2.,Maintenance
Mouse is not responding in Lab 2.,CSE
Campus area is dirty in Lab 1.,Cleaning
No water supply in hostel in Room 101.,Hostel
Signal generator issue in Room 204.,ECE
Garbage not collected in Second Floor.,Cleaning
Lab equipment is faulty in First Floor.,ECE
System is running very slow in Room 101.,CSE
Floor needs mopping in Lab 1.,Cleaning
Mess food quality is poor in Room 204.,Hostel
Monitor display is blank in Lab 2.,CSE
Mouse is not responding in Room 204.,CSE
Function generator faulty in Room 101.,ECE
Tube light not working in Lab 1.,Electrical
Floor needs mopping in Second Floor.,Cleaning
Microcontroller kit not working in Second Floor.,ECE
Roof seepage issue in Lab 2.,Maintenance
Mess food quality is poor in Admin Block.,Hostel
Oscilloscope not working in First Floor.,ECE
Staircase is dusty in Block A.,Cleaning
Switch board is damaged in Lab 2.,Electrical
Washroom needs cleaning in Lab 2.,Cleaning
Broken classroom bench in Lab 2.,Maintenance
Monitor display is blank in Block B.,CSE
Microcontroller kit not working in Block A.,ECE
Bathroom is dirty in Lab 2.,Hostel
Book return portal not working in Room 204.,Library
Garbage not collected in First Floor.,Cleaning
Hall ticket not generated in Second Floor.,Others
Arduino board not detected in First Floor.,ECE
Mess food quality is poor in Lab 2.,Hostel
Roof seepage issue in Lab 2.,Maintenance
Bad smell in corridor in Lab 2.,Cleaning
Hostel WiFi not working in Room 204.,Hostel
Bonafide certificate delayed in First Floor.,Others
Arduino board not detected in Second Floor.,ECE
Mouse is not responding in Second Floor.,CSE
Library computer not working in First Floor.,Library
Door lock is broken in Block A.,Maintenance
Broken classroom bench in Second Floor.,Maintenance
Broken classroom bench in Room 204.,Maintenance
Bathroom is dirty in Admin Block.,Hostel
